opeid8,award_year,descriptor,raw_values,normalized_values
02184400,2015-2016,school,JENKS BEAUTY COLLEGE | Sand Springs Beauty College,JENKS BEAUTY COLLEGE | SAND SPRINGS BEAUTY COLLEGE
02185400,2002-2003,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2003-2004,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2004-2005,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2005-2006,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2006-2007,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2007-2008,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2008-2009,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2009-2010,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2010-2011,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2011-2012,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2012-2013,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2013-2014,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2014-2015,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
02185400,2015-2016,school,ST. AUGUSTINE COLLEGE | Saint Augustine College,ST AUGUSTINE COLLEGE | SAINT AUGUSTINE COLLEGE
